EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 DD   : daily Wind direction in degrees
23-27 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OSLO BLINDERN (STAID: 193).
Blended and updated with sources: 114725 901492 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   DD, Q_DD
114725,19310831,-9999,    9
114725,19310901,-9999,    9
114725,19310902,-9999,    9
114725,19310903,-9999,    9
114725,19310904,-9999,    9
114725,19310905,-9999,    9
114725,19310906,-9999,    9
114725,19310907,-9999,    9
114725,19310908,-9999,    9
114725,19310909,-9999,    9
114725,19310910,-9999,    9
114725,19310911,-9999,    9
114725,19310912,-9999,    9
114725,19310913,-9999,    9
114725,19310914,-9999,    9
114725,19310915,-9999,    9
114725,19310916,-9999,    9
114725,19310917,-9999,    9
114725,19310918,-9999,    9
114725,19310919,-9999,    9
114725,19310920,-9999,    9
114725,19310921,-9999,    9
114725,19310922,-9999,    9
114725,19310923,-9999,    9
114725,19310924,-9999,    9
114725,19310925,-9999,    9
114725,19310926,-9999,    9
114725,19310927,-9999,    9
114725,19310928,-9999,    9
114725,19310929,-9999,    9
114725,19310930,-9999,    9
114725,19311001,-9999,    9
114725,19311002,-9999,    9
114725,19311003,-9999,    9
114725,19311004,-9999,    9
114725,19311005,-9999,    9
114725,19311006,-9999,    9
114725,19311007,-9999,    9
114725,19311008,-9999,    9
114725,19311009,-9999,    9
114725,19311010,-9999,    9
114725,19311011,-9999,    9
114725,19311012,-9999,    9
114725,19311013,-9999,    9
114725,19311014,-9999,    9
114725,19311015,-9999,    9
114725,19311016,-9999,    9
114725,19311017,-9999,    9
114725,19311018,-9999,    9
114725,19311019,-9999,    9
114725,19311020,-9999,    9
114725,19311021,-9999,    9
114725,19311022,-9999,    9
114725,19311023,-9999,    9
114725,19311024,-9999,    9
114725,19311025,-9999,    9
114725,19311026,-9999,    9
114725,19311027,-9999,    9
114725,19311028,-9999,    9
114725,19311029,-9999,    9
114725,19311030,-9999,    9
114725,19311031,-9999,    9
114725,19311101,-9999,    9
114725,19311102,-9999,    9
114725,19311103,-9999,    9
114725,19311104,-9999,    9
114725,19311105,-9999,    9
114725,19311106,-9999,    9
114725,19311107,-9999,    9
114725,19311108,-9999,    9
114725,19311109,-9999,    9
114725,19311110,-9999,    9
114725,19311111,-9999,    9
114725,19311112,-9999,    9
114725,19311113,-9999,    9
114725,19311114,-9999,    9
114725,19311115,-9999,    9
114725,19311116,-9999,    9
114725,19311117,-9999,    9
114725,19311118,-9999,    9
114725,19311119,-9999,    9
114725,19311120,-9999,    9
114725,19311121,-9999,    9
114725,19311122,-9999,    9
114725,19311123,-9999,    9
114725,19311124,-9999,    9
114725,19311125,-9999,    9
114725,19311126,-9999,    9
114725,19311127,-9999,    9
114725,19311128,-9999,    9
114725,19311129,-9999,    9
114725,19311130,-9999,    9
114725,19311201,-9999,    9
114725,19311202,-9999,    9
114725,19311203,-9999,    9
114725,19311204,-9999,    9
114725,19311205,-9999,    9
114725,19311206,-9999,    9
114725,19311207,-9999,    9
114725,19311208,-9999,    9
114725,19311209,-9999,    9
114725,19311210,-9999,    9
114725,19311211,-9999,    9
114725,19311212,-9999,    9
114725,19311213,-9999,    9
114725,19311214,-9999,    9
114725,19311215,-9999,    9
114725,19311216,-9999,    9
114725,19311217,-9999,    9
114725,19311218,-9999,    9
114725,19311219,-9999,    9
114725,19311220,-9999,    9
114725,19311221,-9999,    9
114725,19311222,-9999,    9
114725,19311223,-9999,    9
114725,19311224,-9999,    9
114725,19311225,-9999,    9
114725,19311226,-9999,    9
114725,19311227,-9999,    9
114725,19311228,-9999,    9
114725,19311229,-9999,    9
114725,19311230,-9999,    9
114725,19311231,-9999,    9
114725,19320101,-9999,    9
114725,19320102,-9999,    9
114725,19320103,-9999,    9
114725,19320104,-9999,    9
114725,19320105,-9999,    9
114725,19320106,-9999,    9
114725,19320107,-9999,    9
114725,19320108,-9999,    9
114725,19320109,-9999,    9
114725,19320110,-9999,    9
114725,19320111,-9999,    9
114725,19320112,-9999,    9
114725,19320113,-9999,    9
114725,19320114,-9999,    9
114725,19320115,-9999,    9
114725,19320116,-9999,    9
114725,19320117,-9999,    9
114725,19320118,-9999,    9
114725,19320119,-9999,    9
114725,19320120,-9999,    9
114725,19320121,-9999,    9
114725,19320122,-9999,    9
114725,19320123,-9999,    9
114725,19320124,-9999,    9
114725,19320125,-9999,    9
114725,19320126,-9999,    9
114725,19320127,-9999,    9
114725,19320128,-9999,    9
114725,19320129,-9999,    9
114725,19320130,-9999,    9
114725,19320131,-9999,    9
114725,19320201,-9999,    9
114725,19320202,-9999,    9
114725,19320203,-9999,    9
114725,19320204,-9999,    9
114725,19320205,-9999,    9
114725,19320206,-9999,    9
114725,19320207,-9999,    9
114725,19320208,-9999,    9
114725,19320209,-9999,    9
114725,19320210,-9999,    9
114725,19320211,-9999,    9
114725,19320212,-9999,    9
114725,19320213,-9999,    9
114725,19320214,-9999,    9
114725,19320215,-9999,    9
114725,19320216,-9999,    9
114725,19320217,-9999,    9
114725,19320218,-9999,    9
114725,19320219,-9999,    9
114725,19320220,-9999,    9
114725,19320221,-9999,    9
114725,19320222,-9999,    9
114725,19320223,-9999,    9
114725,19320224,-9999,    9
114725,19320225,-9999,    9
114725,19320226,-9999,    9
114725,19320227,-9999,    9
114725,19320228,-9999,    9
114725,19320229,-9999,    9
114725,19320301,-9999,    9
114725,19320302,-9999,    9
114725,19320303,-9999,    9
114725,19320304,-9999,    9
114725,19320305,-9999,    9
114725,19320306,-9999,    9
114725,19320307,-9999,    9
114725,19320308,-9999,    9
114725,19320309,-9999,    9
114725,19320310,-9999,    9
114725,19320311,-9999,    9
114725,19320312,-9999,    9
114725,19320313,-9999,    9
114725,19320314,-9999,    9
114725,19320315,-9999,    9
114725,19320316,-9999,    9
114725,19320317,-9999,    9
114725,19320318,-9999,    9
114725,19320319,-9999,    9
114725,19320320,-9999,    9
114725,19320321,-9999,    9
114725,19320322,-9999,    9
114725,19320323,-9999,    9
114725,19320324,-9999,    9
114725,19320325,-9999,    9
114725,19320326,-9999,    9
114725,19320327,-9999,    9
114725,19320328,-9999,    9
114725,19320329,-9999,    9
114725,19320330,-9999,    9
114725,19320331,-9999,    9
114725,19320401,-9999,    9
114725,19320402,-9999,    9
114725,19320403,-9999,    9
114725,19320404,-9999,    9
114725,19320405,-9999,    9
114725,19320406,-9999,    9
114725,19320407,-9999,    9
114725,19320408,-9999,    9
114725,19320409,-9999,    9
114725,19320410,-9999,    9
114725,19320411,-9999,    9
114725,19320412,-9999,    9
114725,19320413,-9999,    9
114725,19320414,-9999,    9
114725,19320415,-9999,    9
114725,19320416,-9999,    9
114725,19320417,-9999,    9
114725,19320418,-9999,    9
114725,19320419,-9999,    9
114725,19320420,-9999,    9
114725,19320421,-9999,    9
114725,19320422,-9999,    9
114725,19320423,-9999,    9
114725,19320424,-9999,    9
114725,19320425,-9999,    9
114725,19320426,-9999,    9
114725,19320427,-9999,    9
114725,19320428,-9999,    9
114725,19320429,-9999,    9
114725,19320430,-9999,    9
114725,19320501,-9999,    9
114725,19320502,-9999,    9
114725,19320503,-9999,    9
114725,19320504,-9999,    9
114725,19320505,-9999,    9
114725,19320506,-9999,    9
114725,19320507,-9999,    9
114725,19320508,-9999,    9
114725,19320509,-9999,    9
114725,19320510,-9999,    9
114725,19320511,-9999,    9
114725,19320512,-9999,    9
114725,19320513,-9999,    9
114725,19320514,-9999,    9
114725,19320515,-9999,    9
114725,19320516,-9999,    9
114725,19320517,-9999,    9
114725,19320518,-9999,    9
114725,19320519,-9999,    9
114725,19320520,-9999,    9
114725,19320521,-9999,    9
114725,19320522,-9999,    9
114725,19320523,-9999,    9
114725,19320524,-9999,    9
114725,19320525,-9999,    9
114725,19320526,-9999,    9
114725,19320527,-9999,    9
114725,19320528,-9999,    9
114725,19320529,-9999,    9
114725,19320530,-9999,    9
114725,19320531,-9999,    9
114725,19320601,-9999,    9
114725,19320602,-9999,    9
114725,19320603,-9999,    9
114725,19320604,-9999,    9
114725,19320605,-9999,    9
114725,19320606,-9999,    9
114725,19320607,-9999,    9
114725,19320608,-9999,    9
114725,19320609,-9999,    9
114725,19320610,-9999,    9
114725,19320611,-9999,    9
114725,19320612,-9999,    9
114725,19320613,-9999,    9
114725,19320614,-9999,    9
114725,19320615,-9999,    9
114725,19320616,-9999,    9
114725,19320617,-9999,    9
114725,19320618,-9999,    9
114725,19320619,-9999,    9
114725,19320620,-9999,    9
114725,19320621,-9999,    9
114725,19320622,-9999,    9
114725,19320623,-9999,    9
114725,19320624,-9999,    9
114725,19320625,-9999,    9
114725,19320626,-9999,    9
114725,19320627,-9999,    9
114725,19320628,-9999,    9
114725,19320629,-9999,    9
114725,19320630,-9999,    9
114725,19320701,-9999,    9
114725,19320702,-9999,    9
114725,19320703,-9999,    9
114725,19320704,-9999,    9
114725,19320705,-9999,    9
114725,19320706,-9999,    9
114725,19320707,-9999,    9
114725,19320708,-9999,    9
114725,19320709,-9999,    9
114725,19320710,-9999,    9
114725,19320711,-9999,    9
114725,19320712,-9999,    9
114725,19320713,-9999,    9
114725,19320714,-9999,    9
114725,19320715,-9999,    9
114725,19320716,-9999,    9
114725,19320717,-9999,    9
114725,19320718,-9999,    9
114725,19320719,-9999,    9
114725,19320720,-9999,    9
114725,19320721,-9999,    9
114725,19320722,-9999,    9
114725,19320723,-9999,    9
114725,19320724,-9999,    9
114725,19320725,-9999,    9
114725,19320726,-9999,    9
114725,19320727,-9999,    9
114725,19320728,-9999,    9
114725,19320729,-9999,    9
114725,19320730,-9999,    9
114725,19320731,-9999,    9
114725,19320801,-9999,    9
114725,19320802,-9999,    9
114725,19320803,-9999,    9
114725,19320804,-9999,    9
114725,19320805,-9999,    9
114725,19320806,-9999,    9
114725,19320807,-9999,    9
114725,19320808,-9999,    9
114725,19320809,-9999,    9
114725,19320810,-9999,    9
114725,19320811,-9999,    9
114725,19320812,-9999,    9
114725,19320813,-9999,    9
114725,19320814,-9999,    9
114725,19320815,-9999,    9
114725,19320816,-9999,    9
114725,19320817,-9999,    9
114725,19320818,-9999,    9
114725,19320819,-9999,    9
114725,19320820,-9999,    9
114725,19320821,-9999,    9
114725,19320822,-9999,    9
114725,19320823,-9999,    9
114725,19320824,-9999,    9
114725,19320825,-9999,    9
114725,19320826,-9999,    9
114725,19320827,-9999,    9
114725,19320828,-9999,    9
114725,19320829,-9999,    9
114725,19320830,-9999,    9
114725,19320831,-9999,    9
114725,19320901,-9999,    9
114725,19320902,-9999,    9
114725,19320903,-9999,    9
114725,19320904,-9999,    9
114725,19320905,-9999,    9
114725,19320906,-9999,    9
114725,19320907,-9999,    9
114725,19320908,-9999,    9
114725,19320909,-9999,    9
114725,19320910,-9999,    9
114725,19320911,-9999,    9
114725,19320912,-9999,    9
114725,19320913,-9999,    9
114725,19320914,-9999,    9
114725,19320915,-9999,    9
114725,19320916,-9999,    9
114725,19320917,-9999,    9
114725,19320918,-9999,    9
114725,19320919,-9999,    9
114725,19320920,-9999,    9
114725,19320921,-9999,    9
114725,19320922,-9999,    9
114725,19320923,-9999,    9
114725,19320924,-9999,    9
114725,19320925,-9999,    9
114725,19320926,-9999,    9
114725,19320927,-9999,    9
114725,19320928,-9999,    9
114725,19320929,-9999,    9
114725,19320930,-9999,    9
114725,19321001,-9999,    9
114725,19321002,-9999,    9
114725,19321003,-9999,    9
114725,19321004,-9999,    9
114725,19321005,-9999,    9
114725,19321006,-9999,    9
114725,19321007,-9999,    9
114725,19321008,-9999,    9
114725,19321009,-9999,    9
114725,19321010,-9999,    9
114725,19321011,-9999,    9
114725,19321012,-9999,    9
114725,19321013,-9999,    9
114725,19321014,-9999,    9
114725,19321015,-9999,    9
114725,19321016,-9999,    9
114725,19321017,-9999,    9
114725,19321018,-9999,    9
114725,19321019,-9999,    9
114725,19321020,-9999,    9
114725,19321021,-9999,    9
114725,19321022,-9999,    9
114725,19321023,-9999,    9
114725,19321024,-9999,    9
