EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 5177,137542,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, RR9,19170322,19921031,   56,Marcus Flarup                                     
 5177,137558,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, RR9,19450101,19960531,   56,Marcus Flarup                                     
 5179,137534,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, RR9,19951101,20210331,   56,Marcus Flarup                                     
 5179,137536,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, RR9,19260601,20210225,   56,Marcus Flarup                                     
 5179,137542,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, RR9,19170322,19921031,   56,Marcus Flarup                                     
 5179,137554,ALNARP                                  ,SE,+55:39:00,+013:04:48,  10, RR9,19450101,19690228,   56,Marcus Flarup                                     
 5179,137558,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, RR9,19450101,19960531,   56,Marcus Flarup                                     
 5895,137534,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, RR9,19951101,20210331,   56,Marcus Flarup                                     
 5895,137536,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, RR9,19260601,20210225,   56,Marcus Flarup                                     
 5895,137542,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, RR9,19170322,19921031,   56,Marcus Flarup                                     
 5895,137554,ALNARP                                  ,SE,+55:39:00,+013:04:48,  10, RR9,19450101,19690228,   56,Marcus Flarup                                     
 5895,137558,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10, RR9,19450101,19960531,   56,Marcus Flarup                                     
 5175,140990,MALMO                                   ,SE,+55:36:36,+013:04:48,  20,PP18,19550102,19800731,   56,Marcus Flarup                                     
 3509,158055,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, DD4,19900101,20210331,   56,Marcus Flarup                                     
 3509,158429,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, DD4,19470101,19891231,   56,Marcus Flarup                                     
 5175,158055,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, DD4,19900101,20210331,   56,Marcus Flarup                                     
 5175,158429,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, DD4,19470101,19891231,   56,Marcus Flarup                                     
 5177,158055,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, DD4,19900101,20210331,   56,Marcus Flarup                                     
 5177,158429,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, DD4,19470101,19891231,   56,Marcus Flarup                                     
 5177,158437,OSKARSGRUNDET_NO                        ,SE,+55:36:00,+012:51:36,   1, DD4,19850501,19990616,   56,Marcus Flarup                                     
 5177,158442,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, DD4,19610101,19640430,   56,Marcus Flarup                                     
 3509,158054,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, FG1,19900101,20210331,   56,Marcus Flarup                                     
 3509,158428,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, FG1,19550101,19681231,   56,Marcus Flarup                                     
 3509,902635,MALMO                                   ,SE,+55:34:00,+013:04:00,  21, FG5,19841007,20200229,     ,                    
 5175,158054,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, FG1,19900101,20210331,   56,Marcus Flarup                                     
 5175,158428,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, FG1,19550101,19681231,   56,Marcus Flarup                                     
 5175,902635,MALMO                                   ,SE,+55:34:00,+013:04:00,  21, FG5,19841007,20200229,     ,                    
