EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 DD   : daily Wind direction in degrees
23-27 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MALMO (STAID: 5175).
Blended and updated with sources: 158055 158429 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   DD, Q_DD
158429,19471012,  230,    0
158429,19471013,  230,    0
158429,19471014,  160,    0
158429,19471015,  290,    0
158429,19471016,  290,    0
158429,19471017,  290,    0
158429,19471018,  320,    0
158429,19471019,  340,    0
158429,19471020,  250,    0
158429,19471021,  180,    0
158429,19471022,   90,    0
158429,19471023,  140,    0
158429,19471024,   90,    0
158429,19471025,   90,    0
158429,19471026,   90,    0
158429,19471027,   20,    0
158429,19471028,   90,    0
158429,19471029,  110,    0
158429,19471030,   90,    0
158429,19471031,   90,    0
158429,19471101,   90,    0
158429,19471102,  200,    0
158429,19471103,  230,    0
158429,19471104,  230,    0
158429,19471105,  230,    0
158429,19471106,  320,    0
158429,19471107,  320,    0
158429,19471108,  360,    0
158429,19471109,  160,    0
158429,19471110,  290,    0
158429,19471111,  270,    0
158429,19471112,  160,    0
158429,19471113,  270,    0
158429,19471114,  250,    0
158429,19471115,  290,    0
158429,19471116,  360,    0
158429,19471117,  270,    0
158429,19471118,   90,    0
158429,19471119,  200,    0
158429,19471120,  110,    0
158429,19471121,  250,    0
158429,19471122,  270,    0
158429,19471123,  290,    0
158429,19471124,  270,    0
158429,19471125,  270,    0
158429,19471126,  360,    0
158429,19471127,   20,    0
158429,19471128,   90,    0
158429,19471129,   90,    0
158429,19471130,  270,    0
158429,19471201,  230,    0
158429,19471202,   70,    0
158429,19471203,  360,    0
158429,19471204,    0,    0
