EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 4431,100189,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, RR3,19540601,20210331,   11,National Climate Data Center (DWD)                
 4431,126262,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, RR3,19451106,19531231,   11,National Climate Data Center (DWD)                
 4431,126274,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, RR3,18790101,19541230,   11,National Climate Data Center (DWD)                
 4432,100189,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, RR3,19540601,20210331,   11,National Climate Data Center (DWD)                
 4432,126274,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, RR3,18790101,19541230,   11,National Climate Data Center (DWD)                
 4432,126286,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, RR3,19550101,19990331,   11,National Climate Data Center (DWD)                
 4433,100189,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, RR3,19540601,20210331,   11,National Climate Data Center (DWD)                
 4433,126274,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, RR3,18790101,19541230,   11,National Climate Data Center (DWD)                
 4433,126286,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, RR3,19550101,19990331,   11,National Climate Data Center (DWD)                
   52,100190,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, PP2,19790101,20180227,   11,National Climate Data Center (DWD)                
   52,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526,PP11,20040101,20200229,     ,                    
   52,115784,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, SD3,19540601,20190430,   11,National Climate Data Center (DWD)                
   52,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526, SD1,20040101,20200229,     ,                    
   52,115783,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, SS3,19550401,20210331,   11,National Climate Data Center (DWD)                
   52,126260,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, SS3,19460701,19531231,   11,National Climate Data Center (DWD)                
   52,126272,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, SS3,19360102,19540930,   11,National Climate Data Center (DWD)                
   52,126284,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, SS3,19550101,19980831,   11,National Climate Data Center (DWD)                
 4431,115783,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, SS3,19550401,20210331,   11,National Climate Data Center (DWD)                
 4431,126260,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, SS3,19460701,19531231,   11,National Climate Data Center (DWD)                
 4431,126272,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, SS3,19360102,19540930,   11,National Climate Data Center (DWD)                
 4431,126284,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, SS3,19550101,19980831,   11,National Climate Data Center (DWD)                
 4431,126308,MUNCHEN-RIEM                            ,DE,+48:08:16,+011:42:39, 529, SS3,19400101,19920516,   11,National Climate Data Center (DWD)                
 4432,115783,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, SS3,19550401,20210331,   11,National Climate Data Center (DWD)                
 4432,126260,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, SS3,19460701,19531231,   11,National Climate Data Center (DWD)                
 4432,126272,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, SS3,19360102,19540930,   11,National Climate Data Center (DWD)                
 4432,126284,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, SS3,19550101,19980831,   11,National Climate Data Center (DWD)                
 4433,115783,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, SS3,19550401,20210331,   11,National Climate Data Center (DWD)                
 4433,126260,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, SS3,19460701,19531231,   11,National Climate Data Center (DWD)                
 4433,126272,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, SS3,19360102,19540930,   11,National Climate Data Center (DWD)                
 4433,126284,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, SS3,19550101,19980831,   11,National Climate Data Center (DWD)                
   52,115787,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, FX1,19850101,20210331,   11,National Climate Data Center (DWD)                
   52,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526, FX4,20040101,20200229,     ,                    
   52,115786,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, FG7,19850101,20210331,   11,National Climate Data Center (DWD)                
   52,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526, FG5,20040101,20190923,     ,                    
